pid,date,condition,condition_number,phase,session_duration,complete,approvals,age,sex,ethnic,nation,OS,frameRate,trees,fruits,n_low_consumed,n_hi_consumed,textbox.text,trialCount,use_master_forest,redistribute_fruit,mouse.time,high_fruit
613b77da863afce13714e4c4,2023-07-12T12:05:02Z,different forests:random fruit,6,experimental,953.106999874115,ok,502,NA,Female,White,United Kingdom,Win32,59.63384817,different forests,random fruit,7,9,"Yes, very clear, thanks.Type here ...",9,FALSE,TRUE,"[1.3605999999047071,2.0045000000000073,2.9108000001907612,4.682099999904608,5.258500000000026,7.066699999809316,7.592499999999973,10.605999999999995,11.024199999809298,13.861099999904695,14.493400000095448,16.457499999999982,17.22330000019076,19.572699999809288,20.298800000190795,21.328500000000076,24.18259999990471,24.749300000190715,26.696500000000015,27.34690000009539,27.958300000190775,30.857699999809256,31.96309999990467,32.99530000019081,33.78990000009537,36.61319999980924,37.42709999990461,37.8461999998093,40.93980000019076,41.431699999809325,44.15350000000001,44.71840000009536,46.461800000190806,47.17100000000005,50.00450000000001,50.803999999999974,51.2694000000954,52.02600000000007,53.01790000009544,53.655599999904666,55.55369999980928,56.081199999809314]",apple
613b77da863afce13714e4c4,2023-07-12T12:05:02Z,different forests:random fruit,6,experimental,953.106999874115,ok,502,NA,Female,White,United Kingdom,Win32,59.63384817,different forests,random fruit,6,9,"Yes, very clear, thanks.Type here ...",10,FALSE,TRUE,"[1.5335000000000036,2.1425999999046326,4.1835999999045725,4.634199999809198,7.81740000009529,8.471000000000004,10.507699999809233,10.960099999904628,14.007400000095345,14.457199999809177,17.602400000095372,18.05019999980925,21.085699999809208,21.574400000095352,23.781699999809234,24.31499999999994,26.95290000009527,28.005599999904575,28.773900000095296,32.47849999999994,33.1395,34.896400000095355,35.35159999990458,38.548400000095285,39.205799999713804,39.7012999997138,40.565900000095326,41.13749999999993,43.059199999809266,43.66999999999996,45.55479999971385,46.01049999999998,48.85319999980925,49.30459999990455]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,6,9,Yes they were clear enough Type here ...,1,TRUE,FALSE,"[1.3380000000000223,1.8940000000000055,2.438299999982121,5.537500000000023,6.995500000000021,9.030500000000018,10.844099999994057,12.584099999994066,15.53329999998212,17.13500000000002,19.9086999999881,21.757599999994056,23.201799999982143,24.276500000000027,26.213199999988092,28.924500000000023,31.578400000005985,32.18190000000598,33.251799999982126,33.74829999998212,35.67040000000597,38.71279999998214,41.720500000000015,44.636000000000024]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,7,9,Yes they were clear enough Type here ...,2,TRUE,FALSE,"[1.4650000000000034,4.065199999988067,5.071400000005951,8.070400000005947,10.806999999999988,13.528599999994043,13.892300000011915,15.783599999994038,17.46309999999403,19.48599999999999,21.25649999999999,23.091499999999996,24.839400000005952,27.661599999994024,28.594199999988064,29.349099999994024,29.75290000000595,32.69340000000594,34.55790000000596,36.056599999994035,37.14480000001191,39.67640000000594,42.26630000001191,42.60469999998807,45.343800000011925]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,3,TRUE,FALSE,"[1.3685999999940464,2.159900000005962,4.787800000011941,6.664300000011934,9.444700000017889,11.709099999994066,14.498599999994042,17.36280000001196,19.934700000017898,20.862300000011913,23.876400000005987,25.6437000000179,27.57970000001788,29.334700000017875,31.1575,32.899200000017885,34.59180000001194,37.576700000017894,38.96590000000597,39.44680000001196,40.380000000000024]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,4,TRUE,FALSE,"[1.1372000000179128,1.7620000000000005,1.9790000000000418,4.738300000011975,6.274000000000001,6.76580000001195,9.548099999994065,11.594900000005964,12.208700000017927,15.002200000017922,17.775000000000034,20.32830000001195,21.41220000001789,24.21180000001192,25.872200000017926,27.729099999994048,29.650599999994085,31.419800000011946,33.3157000000179,35.140599999994095,38.01150000000001,38.95809999999409,39.749900000005994,40.24000000000001]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,5,TRUE,FALSE,"[1.0213000000119337,1.9593000000119218,4.6911999999881004,6.526699999988068,9.260900000005961,11.07850000000002,11.287300000011953,11.617900000005989,14.633599999994033,17.27830000001194,19.93440000000595,20.140599999994038,21.135400000005973,22.90040000000596,24.827699999988113,27.718999999999994,31.401400000005992,33.709099999994066,35.92859999999405,37.72119999998807,40.54990000000595,41.57690000000599,41.96059999999403,43.082599999994045]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,6,TRUE,FALSE,"[1.1798000000119373,1.5155000000000314,2.0526000000238582,4.732900000005998,6.487700000017924,9.190500000000043,11.0632000000179,13.774500000000046,16.58810000002387,19.27630000001193,19.43670000001788,20.609000000000037,22.832200000017906,24.612400000006005,27.626000000000033,29.51180000001193,31.436000000000035,33.24380000001196,34.03730000001195,36.67900000000003,37.482600000023865,38.48960000002387,38.80070000001791,39.52950000000004,40.29260000002387,41.123600000023885,44.17710000002387,44.53640000000598]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,7,TRUE,FALSE,"[1.2497999999820877,2.43659999999403,2.953199999988044,5.614799999982097,7.617599999994013,10.695499999999981,12.614099999994039,15.461599999994007,18.555299999982083,21.726999999999975,24.574299999982088,25.382699999988063,25.62259999999401,27.616999999999962,29.642599999994047,31.554499999999962,33.23679999998211,35.16739999997617,36.219099999994,39.29779999998209,40.105699999988076,41.02689999997614,41.78819999998808,42.2885,42.78809999999402,44.56389999997617]",apple
5a23eb5b1a1ad3000138fb75,2023-07-12T14:17:02Z,same forest:fixed fruit,2,experimental,653.8959999084473,ok,948,26,Female,White,United Kingdom,Win32,59.91252771,same forest,fixed fruit,8,8,Yes they were clear enough Type here ...,8,TRUE,FALSE,"[0.7759000000059473,1.563799999982109,2.0450999999940223,4.665799999982141,6.530599999994024,9.245099999994068,11.061299999982111,13.795799999982137,16.52859999999407,19.127999999999986,19.594599999994045,20.79050000000001,22.514699999988068,25.275699999988092,27.164900000005957,29.066299999982107,31.010400000005973,32.96729999998212,33.79279999998215,36.41319999998808,37.286400000005926,38.11929999998216,38.773900000005995,41.45059999999404]",apple
