participant,group,OS,fovealword,parafovealword,fovealcolour,parafovealcolour,correctcolour,parafovealpositionword,congruency,condition,block,gender,age,handedness,trial,rt,acc
15286,A,MacIntel,BLUE,SHORT,green,black,green,left,incongruent,foveal_unified,2,male,20,right-handed,15,0.37701,1
15286,A,MacIntel,RED,LABEL,black,yellow,yellow,left,incongruent,para_dis,2,male,20,right-handed,16,0.302535,0
15286,A,MacIntel,BLUE,SHORT,black,green,green,left,incongruent,para_dis,2,male,20,right-handed,17,0.476635,1
15286,A,MacIntel,SHORT,BLUE,yellow,black,yellow,left,incongruent,fov_dis,2,male,20,right-handed,18,0.48061,1
15286,A,MacIntel,SIDE,BLUE,red,black,red,right,incongruent,fov_dis,2,male,20,right-handed,19,0.337175,1
15286,A,MacIntel,SIDE,RED,red,black,red,right,congruent,fov_dis,2,male,20,right-handed,20,0.30331,1
15286,A,MacIntel,SIDE,YELLOW,black,red,red,left,incongruent,para_unified,2,male,20,right-handed,21,0.29644,1
15286,A,MacIntel,MAIN,RED,black,blue,blue,right,incongruent,para_unified,2,male,20,right-handed,22,0.35873,0
15286,A,MacIntel,MAIN,YELLOW,black,yellow,yellow,left,congruent,para_unified,2,male,20,right-handed,23,0.418485,0
15286,A,MacIntel,GREEN,MAIN,red,black,red,left,incongruent,foveal_unified,2,male,20,right-handed,24,0.36843,1
15286,A,MacIntel,SIDE,BLUE,black,red,red,right,incongruent,para_unified,2,male,20,right-handed,25,0.29954,1
15286,A,MacIntel,BLUE,MAIN,black,blue,blue,right,congruent,para_dis,2,male,20,right-handed,26,0.347895,1
15286,A,MacIntel,MAIN,BLUE,blue,black,blue,right,congruent,fov_dis,2,male,20,right-handed,27,0.302185,1
15286,A,MacIntel,RED,MAIN,black,green,green,right,incongruent,para_dis,2,male,20,right-handed,28,0.465665,1
15286,A,MacIntel,GREEN,SHORT,blue,black,blue,right,incongruent,foveal_unified,2,male,20,right-handed,29,0.41908,0
15286,A,MacIntel,SHORT,BLUE,black,yellow,yellow,left,incongruent,para_unified,2,male,20,right-handed,30,0.353,1
15286,A,MacIntel,YELLOW,LABEL,red,black,red,right,incongruent,foveal_unified,2,male,20,right-handed,31,0.33174,1
15286,A,MacIntel,GREEN,LABEL,green,black,green,right,congruent,foveal_unified,2,male,20,right-handed,32,0.517175,1
15286,A,MacIntel,SHORT,GREEN,yellow,black,yellow,right,incongruent,fov_dis,2,male,20,right-handed,33,0.460415,1
15286,A,MacIntel,SHORT,RED,red,black,red,left,congruent,fov_dis,2,male,20,right-handed,34,0.56657,1
15286,A,MacIntel,MAIN,GREEN,blue,black,blue,left,incongruent,fov_dis,2,male,20,right-handed,35,0.35887,1
15286,A,MacIntel,BLUE,SIDE,yellow,black,yellow,right,incongruent,foveal_unified,2,male,20,right-handed,36,0.319235,1
15286,A,MacIntel,MAIN,RED,blue,black,blue,right,incongruent,fov_dis,2,male,20,right-handed,37,0.365135,1
15286,A,MacIntel,YELLOW,SIDE,blue,black,blue,left,incongruent,foveal_unified,2,male,20,right-handed,38,0.299045,0
15286,A,MacIntel,YELLOW,MAIN,yellow,black,yellow,left,congruent,foveal_unified,2,male,20,right-handed,39,0.20283,1
15286,A,MacIntel,GREEN,SIDE,green,black,green,left,congruent,foveal_unified,2,male,20,right-handed,40,0.46576,1
15286,A,MacIntel,SIDE,YELLOW,red,black,red,left,incongruent,fov_dis,2,male,20,right-handed,41,0.46797,1
15286,A,MacIntel,SHORT,GREEN,black,yellow,yellow,right,incongruent,para_unified,2,male,20,right-handed,42,0.282985,1
15286,A,MacIntel,BLUE,MAIN,blue,black,blue,right,congruent,foveal_unified,2,male,20,right-handed,43,0.248485,1
15286,A,MacIntel,YELLOW,SIDE,black,blue,blue,left,incongruent,para_dis,2,male,20,right-handed,44,0.434075,1
15286,A,MacIntel,GREEN,MAIN,black,red,red,left,incongruent,para_dis,2,male,20,right-handed,45,0.382995,1
15286,A,MacIntel,SIDE,GREEN,black,green,green,left,congruent,para_unified,2,male,20,right-handed,46,0.393535,1
15286,A,MacIntel,SHORT,YELLOW,black,yellow,yellow,right,congruent,para_unified,2,male,20,right-handed,47,0.335025,1
15286,A,MacIntel,YELLOW,MAIN,black,yellow,yellow,left,congruent,para_dis,2,male,20,right-handed,48,0.233715,1
15286,A,MacIntel,LABEL,GREEN,green,black,green,right,congruent,fov_dis,2,male,20,right-handed,49,0.445345,1
15286,A,MacIntel,RED,MAIN,green,black,green,right,incongruent,foveal_unified,2,male,20,right-handed,50,0.270685,1
15286,A,MacIntel,LABEL,BLUE,blue,black,blue,left,congruent,fov_dis,2,male,20,right-handed,51,0.348505,1
15286,A,MacIntel,MAIN,YELLOW,yellow,black,yellow,left,congruent,fov_dis,2,male,20,right-handed,52,0.43447,1
15286,A,MacIntel,BLUE,LABEL,blue,black,blue,left,congruent,foveal_unified,2,male,20,right-handed,53,0.43572,1
15286,A,MacIntel,RED,SHORT,black,red,red,left,congruent,para_dis,2,male,20,right-handed,54,0.365475,1
15286,A,MacIntel,RED,SIDE,black,red,red,right,congruent,para_dis,2,male,20,right-handed,55,0.30096,1
15286,A,MacIntel,LABEL,RED,green,black,green,left,incongruent,fov_dis,2,male,20,right-handed,56,0.282765,1
15286,A,MacIntel,RED,SIDE,red,black,red,right,congruent,foveal_unified,2,male,20,right-handed,57,0.389595,1
15286,A,MacIntel,MAIN,GREEN,black,blue,blue,left,incongruent,para_unified,2,male,20,right-handed,58,0.21568,1
15286,A,MacIntel,SHORT,RED,black,red,red,left,congruent,para_unified,2,male,20,right-handed,59,0.285795,0
15286,A,MacIntel,YELLOW,SHORT,black,yellow,yellow,right,congruent,para_dis,2,male,20,right-handed,60,0.365005,1
15286,A,MacIntel,GREEN,SHORT,black,blue,blue,right,incongruent,para_dis,2,male,20,right-handed,61,0.380455,0
15286,A,MacIntel,LABEL,RED,black,green,green,left,incongruent,para_unified,2,male,20,right-handed,62,0.567605,1
15286,A,MacIntel,MAIN,BLUE,black,blue,blue,right,congruent,para_unified,2,male,20,right-handed,63,0.35361,0
15286,A,MacIntel,BLUE,SIDE,black,yellow,yellow,right,incongruent,para_dis,2,male,20,right-handed,64,0.409715,1
15286,A,MacIntel,SIDE,GREEN,red,black,red,right,incongruent,fov_dis,3,male,20,right-handed,1,0.335195,1
15286,A,MacIntel,BLUE,MAIN,black,blue,blue,left,congruent,para_dis,3,male,20,right-handed,2,0.3991,1
15286,A,MacIntel,SHORT,YELLOW,yellow,black,yellow,left,congruent,fov_dis,3,male,20,right-handed,3,0.24088,1
15286,A,MacIntel,LABEL,BLUE,black,green,green,right,incongruent,para_unified,3,male,20,right-handed,4,0.33571,1
15286,A,MacIntel,LABEL,YELLOW,green,black,green,left,incongruent,fov_dis,3,male,20,right-handed,5,0.309445,1
15286,A,MacIntel,SHORT,GREEN,black,yellow,yellow,left,incongruent,para_unified,3,male,20,right-handed,6,0.380585,1
15286,A,MacIntel,YELLOW,MAIN,black,green,green,right,incongruent,para_dis,3,male,20,right-handed,7,0.42578,1
15286,A,MacIntel,LABEL,RED,red,black,red,right,congruent,fov_dis,3,male,20,right-handed,8,0.4228,1
15286,A,MacIntel,RED,MAIN,black,green,green,left,incongruent,para_dis,3,male,20,right-handed,9,0.38073,1
15286,A,MacIntel,SIDE,RED,red,black,red,left,congruent,fov_dis,3,male,20,right-handed,10,0.49972,1
15286,A,MacIntel,MAIN,GREEN,black,green,green,right,congruent,para_unified,3,male,20,right-handed,11,0.408135,1
15286,A,MacIntel,RED,SHORT,blue,black,blue,right,incongruent,foveal_unified,3,male,20,right-handed,12,0.26094,1
15286,A,MacIntel,BLUE,MAIN,blue,black,blue,left,congruent,foveal_unified,3,male,20,right-handed,13,0.386575,1
15286,A,MacIntel,SHORT,BLUE,blue,black,blue,right,congruent,fov_dis,3,male,20,right-handed,14,0.351425,0
15286,A,MacIntel,MAIN,YELLOW,black,blue,blue,right,incongruent,para_unified,3,male,20,right-handed,15,0.328615,1
15286,A,MacIntel,SIDE,YELLOW,black,yellow,yellow,right,congruent,para_unified,3,male,20,right-handed,16,0.3189,1
15286,A,MacIntel,BLUE,LABEL,black,red,red,right,incongruent,para_dis,3,male,20,right-handed,17,0.29784,1
15286,A,MacIntel,BLUE,SHORT,blue,black,blue,right,congruent,foveal_unified,3,male,20,right-handed,18,0.345905,1
15286,A,MacIntel,YELLOW,LABEL,black,red,red,left,incongruent,para_dis,3,male,20,right-handed,19,0.41741,1
15286,A,MacIntel,GREEN,LABEL,green,black,green,left,congruent,foveal_unified,3,male,20,right-handed,20,0.326375,0
15286,A,MacIntel,BLUE,SIDE,yellow,black,yellow,left,incongruent,foveal_unified,3,male,20,right-handed,21,0.39917,1
15286,A,MacIntel,YELLOW,SIDE,black,yellow,yellow,right,congruent,para_dis,3,male,20,right-handed,22,0.32026,1
15286,A,MacIntel,GREEN,SHORT,blue,black,blue,left,incongruent,foveal_unified,3,male,20,right-handed,23,0.43431,1
15286,A,MacIntel,RED,SIDE,red,black,red,left,congruent,foveal_unified,3,male,20,right-handed,24,0.31106,1
15286,A,MacIntel,LABEL,RED,black,red,red,right,congruent,para_unified,3,male,20,right-handed,25,0.284935,1
15286,A,MacIntel,MAIN,RED,blue,black,blue,left,incongruent,fov_dis,3,male,20,right-handed,26,0.367425,1
15286,A,MacIntel,YELLOW,MAIN,green,black,green,right,incongruent,foveal_unified,3,male,20,right-handed,27,0.480605,1
15286,A,MacIntel,SHORT,YELLOW,black,yellow,yellow,left,congruent,para_unified,3,male,20,right-handed,28,0.498825,1
15286,A,MacIntel,MAIN,BLUE,black,blue,blue,left,congruent,para_unified,3,male,20,right-handed,29,0.86096,1
15286,A,MacIntel,LABEL,YELLOW,black,green,green,left,incongruent,para_unified,3,male,20,right-handed,30,0.380635,1
15286,A,MacIntel,LABEL,GREEN,black,green,green,left,congruent,para_unified,3,male,20,right-handed,31,0.2958,1
15286,A,MacIntel,BLUE,SIDE,black,yellow,yellow,left,incongruent,para_dis,3,male,20,right-handed,32,0.404155,1
15286,A,MacIntel,RED,SHORT,black,blue,blue,right,incongruent,para_dis,3,male,20,right-handed,33,0.418445,1
