pp,Age,Valence,vidrep,mean_accuracy,mean_z_score,mean_rt
EPI_Y_R003,Age: young,Neutral,Video repetition: 3,1,-0.7058337352626604,1.3756
EPI_Y_R003,Age: young,Negative,Video repetition: 1,0.6,1.214317846315988,2.4203333333333332
EPI_Y_R003,Age: young,Negative,Video repetition: 2,1,0.25460964245441164,1.8981666666666663
EPI_Y_R003,Age: young,Negative,Video repetition: 3,0.7692307692307693,0.05139533589783031,1.7876
EPI_Y_R003,Age: young,Positive,Video repetition: 1,0.5555555555555556,0.5821908595656693,2.0764
EPI_Y_R003,Age: young,Positive,Video repetition: 2,0.6666666666666666,-0.18128718936653423,1.661
EPI_Y_R003,Age: young,Positive,Video repetition: 3,0.6666666666666666,-0.9679232147468496,1.233
EPI_Y_R004,Age: young,Neutral,Video repetition: 1,0.6666666666666666,0.07070330228149004,2.6638333333333333
EPI_Y_R004,Age: young,Neutral,Video repetition: 2,0.75,-0.14981108934213802,2.5183333333333335
EPI_Y_R004,Age: young,Neutral,Video repetition: 3,0.7142857142857143,-0.665304526255655,2.1782
EPI_Y_R004,Age: young,Negative,Video repetition: 1,0.4545454545454546,0.1991725114221284,2.7486
EPI_Y_R004,Age: young,Negative,Video repetition: 2,0.8181818181818182,-0.05142580235771282,2.58325
EPI_Y_R004,Age: young,Negative,Video repetition: 3,0.5,1.4834604527407709,3.596
EPI_Y_R004,Age: young,Positive,Video repetition: 1,0.75,0.37255289906297423,2.863
EPI_Y_R004,Age: young,Positive,Video repetition: 2,0.2,-0.13970733714861566,2.525
EPI_Y_R004,Age: young,Positive,Video repetition: 3,0.6,0.08392237806801522,2.6725555555555554
EPI_Y_R005,Age: young,Neutral,Video repetition: 1,0.8333333333333334,0.08063438711328441,3.0543
EPI_Y_R005,Age: young,Neutral,Video repetition: 2,0.8888888888888888,-0.22229718844749957,2.8590875
EPI_Y_R005,Age: young,Neutral,Video repetition: 3,0.5555555555555556,-0.12097601333165152,2.92438
EPI_Y_R005,Age: young,Negative,Video repetition: 1,0.5714285714285714,-0.03648803417351945,2.978825
EPI_Y_R005,Age: young,Negative,Video repetition: 2,0.5,-0.4677344187459308,2.700925
EPI_Y_R005,Age: young,Negative,Video repetition: 3,0.6666666666666666,0.5734873980531832,3.3719
EPI_Y_R005,Age: young,Positive,Video repetition: 1,0.5454545454545454,-0.2669697515848811,2.8303
EPI_Y_R005,Age: young,Positive,Video repetition: 2,0.6666666666666666,0.3388546044319214,3.2207
EPI_Y_R005,Age: young,Positive,Video repetition: 3,0.6666666666666666,-0.6122073888923557,2.607825
EPI_Y_R006,Age: young,Neutral,Video repetition: 1,0.8571428571428571,0.07933320717134347,2.3519666666666668
EPI_Y_R006,Age: young,Neutral,Video repetition: 2,0.8571428571428571,-0.33023313945773897,1.99745
EPI_Y_R006,Age: young,Neutral,Video repetition: 3,0.6666666666666666,-0.8263877922685234,1.5679833333333333
EPI_Y_R006,Age: young,Negative,Video repetition: 1,0.8571428571428571,0.2951396860871798,2.5387666666666666
EPI_Y_R006,Age: young,Negative,Video repetition: 2,0.7777777777777778,0.3875841663487713,2.618785714285714
EPI_Y_R006,Age: young,Negative,Video repetition: 3,0.875,-0.12988266906933305,2.170871428571429
EPI_Y_R006,Age: young,Positive,Video repetition: 1,0.6,-0.11581299766555891,2.18305
EPI_Y_R006,Age: young,Positive,Video repetition: 2,1,-0.309707648154716,2.015216666666667
EPI_Y_R006,Age: young,Positive,Video repetition: 3,1,-0.00478224767272548,2.279157142857143
EPI_Y_S001,Age: young,Neutral,Video repetition: 1,0.625,-0.4741762503050051,1.7865
EPI_Y_S001,Age: young,Neutral,Video repetition: 2,0.7272727272727273,-0.14635752944655997,1.9486625
EPI_Y_S001,Age: young,Neutral,Video repetition: 3,0.8,0.36294535492112423,2.2006
EPI_Y_S001,Age: young,Negative,Video repetition: 1,0.5,-0.5113726703392015,1.7681
EPI_Y_S001,Age: young,Negative,Video repetition: 2,0.42857142857142855,1.162196691924032,2.5959666666666665
EPI_Y_S001,Age: young,Negative,Video repetition: 3,0.2727272727272727,-0.28246644052730757,1.8813333333333333
EPI_Y_S001,Age: young,Positive,Video repetition: 1,0.9,0.3438080663528058,2.191133333333333
EPI_Y_S001,Age: young,Positive,Video repetition: 2,0.6666666666666666,-0.06946302797641041,1.9867
EPI_Y_S001,Age: young,Positive,Video repetition: 3,0.625,-0.36630663220583526,1.83986
EPI_Y_S002,Age: young,Neutral,Video repetition: 1,0.5,-0.12982070630416165,2.21805
EPI_Y_S002,Age: young,Neutral,Video repetition: 2,0.8333333333333334,-0.44389254104170656,2.02663
EPI_Y_S002,Age: young,Neutral,Video repetition: 3,0.625,-0.03303302721541591,2.27704
EPI_Y_S002,Age: young,Negative,Video repetition: 1,0.42857142857142855,0.7024483254894279,2.725299999666667
EPI_Y_S002,Age: young,Negative,Video repetition: 2,0.4,1.0953252502234978,2.96475
EPI_Y_S002,Age: young,Negative,Video repetition: 3,0.5833333333333334,0.04525874250932032,2.3247571427142857
EPI_Y_S002,Age: young,Positive,Video repetition: 1,0.8461538461538461,0.18940158299755655,2.4126090908181816
EPI_Y_S002,Age: young,Positive,Video repetition: 2,0.7142857142857143,0.01881458557593694,2.3086400002
EPI_Y_S002,Age: young,Positive,Video repetition: 3,0.75,-0.6428550187436177,1.905366667
EPI_Y_S003,Age: young,Neutral,Video repetition: 1,1,-0.38894049199829345,2.3162714285714285
EPI_Y_S003,Age: young,Neutral,Video repetition: 2,0.7777777777777778,-0.15630817943441425,2.447171428571429
EPI_Y_S003,Age: young,Neutral,Video repetition: 3,0.875,0.1571348556974912,2.623542857142857
EPI_Y_S003,Age: young,Negative,Video repetition: 1,0.42857142857142855,0.8791252196276003,3.0298
EPI_Y_S003,Age: young,Negative,Video repetition: 2,0.8888888888888888,0.03954294107152288,2.557375
EPI_Y_S003,Age: young,Negative,Video repetition: 3,0.875,-0.14711764171225747,2.452342857142857
EPI_Y_S003,Age: young,Positive,Video repetition: 1,0.6,-0.11070246324223776,2.4728333333333334
EPI_Y_S003,Age: young,Positive,Video repetition: 2,0.8333333333333334,0.7512396488705587,2.95784
EPI_Y_S003,Age: young,Positive,Video repetition: 3,0.875,-0.3284403500317186,2.3503142857142856
EPI_Y_17431,Age: young,Neutral,Video repetition: 1,0.5,0.06313309296068188,3.291475
EPI_Y_17431,Age: young,Neutral,Video repetition: 2,0.5,0.6522819914915761,3.905375
EPI_Y_17431,Age: young,Neutral,Video repetition: 3,1,-0.12952310736522937,3.090725
EPI_Y_17431,Age: young,Negative,Video repetition: 1,0.6666666666666666,0.07609679992325163,3.3049833333333334
EPI_Y_17431,Age: young,Negative,Video repetition: 2,0.7,0.30167923931334356,3.5400428571428573
EPI_Y_17431,Age: young,Negative,Video repetition: 3,0.6,0.5380398237184072,3.7863333333333338
EPI_Y_17431,Age: young,Positive,Video repetition: 1,0.8571428571428571,-0.19976384657081175,3.017533333333333
